Drug_A,Drug_B,Cell_Line,Replicates,Has_Replicates,ZIP_Synergy_Score,HSA_Synergy_Score,Bliss_Synergy_Score,Loewe_Synergy_Score
ADAM17,AKT,BT-20,Rep1,False,5.99613968716517,8.053212585622033,5.965060294825565,8.033272414109124
ADAM17,AKT,CAL-120,Rep1,False,-0.08539522790797527,2.610456894744737,2.063670396528279,2.5424290167601598
ADAM17,AKT,CAL-51,Rep1,False,-3.60842763193228,0.33975785217648047,-4.7788436729027435,0.0865904957882119
ADAM17,AKT,DU-4475,Rep1,False,-5.594658299029683,-3.616271904119431,-6.1186751055691735,-6.2172062482816415
ADAM17,AKT,HCC1143,Rep1,False,10.465163238867643,12.6724188587538,13.264273686573281,7.584801110316722
ADAM17,AKT,HCC1187,Rep1,False,0.5606643945298397,0.4778836400900269,1.5114634567855452,-0.25522694690346215
ADAM17,AKT,HCC1428,Rep1,False,-5.395578587260104,-3.312425889009335,-5.979330148126853,-2.9002784926915606
ADAM17,AKT,HCC1806,Rep1,False,-4.852835244891646,-4.411115547369885,-8.52978434449091,-6.402529054377741
ADAM17,AKT,HCC1937,Rep1,False,3.2974421720421625,7.637110934159457,3.8451453461357796,7.4888634505389176
ADAM17,AKT,HCC70,Rep1,False,-0.09740200909332049,2.281985772403851,0.403758969894542,0.7082508027764876
ADAM17,AKT,M14,Rep1,False,4.840956607655174,7.283972687158495,4.730519612894319,12.802349133049322
ADAM17,AKT,MDA-MB-231,Rep1,False,1.8465002805511883,2.0759353526684854,2.331406815625201,1.5953522830336089
ADAM17,AKT,MDA-MB-436,Rep1,False,-1.3916924407587739,0.061043558044987005,-0.25460122928000395,-0.5068430557488149
ADAM17,AKT,MDA-MB-453,Rep1,False,4.991973730747328,6.36054490792584,6.7258897848598656,3.122880943146338
ADAM17,BCL2_BCL2L1,BT-549,Rep1,False,-6.39353219222505,-0.8761826202111178,-6.096873376279145,-0.8761907698405021
ADAM17,BCL2_BCL2L1,CAL-148,Rep1,False,-3.513798433894452,-2.915859322644735,-3.80348560984039,-3.629420300931309
ADAM17,BCL2_BCL2L1,CAMA-1,Rep1,False,-2.4731468968271733,0.9955790744849936,-3.0950679656285605,1.3401176948777778
ADAM17,BCL2_BCL2L1,DU-4475,Rep1,False,-0.913771948514472,1.3925936159818928,0.9809968761709178,1.1466592272063452
ADAM17,BCL2_BCL2L1,HCC1395,Rep1,False,-1.7290746396793535,0.48074275498606023,-1.547221400947864,0.20708036374726155
ADAM17,BCL2_BCL2L1,HCC1806,Rep1,False,-1.3876223153711735,-0.6143743009321612,-1.0279851931410742,2.549615007879506
ADAM17,BCL2_BCL2L1,HCC70,Rep1,False,-4.347587391312611,-4.679162557826757,-5.459697504700432,-4.773860871598426
ADAM17,BCL2_BCL2L1,MDA-MB-157,Rep1,False,-5.088555742195337,-1.1984075049814018,-6.926013955827717,0.981818654348459
ADAM17,BCL2_BCL2L1,MDA-MB-231,Rep1,False,-0.7908365953184274,-0.6474131127411431,-1.0097977468746313,-0.2761568904367272
ADAM17,BCL2_BCL2L1,MDA-MB-436,Rep1,False,-0.11425615886788472,-0.3533389605128282,-0.3663414645268167,-0.7249232202992966
ADAM17,BCL2_BCL2L1,MDA-MB-468,Rep1,False,-2.260771102496295,-1.296347899462702,-2.5468314265333136,-1.1407998058638893
ADAM17,BCL2_BCL2L1,MFM-223,Rep1,False,-1.6182343253402292,-3.2850986990064728,-4.046583524947605,-3.962440483354279
ADAM17,FGFR,BT-549,Rep1,False,-10.753097312602906,-2.607402130023285,-10.800371889303381,-2.620191782785199
ADAM17,FGFR,CAL-120,Rep1,False,-1.901466047769255,2.8496179815625573,-1.1659676047797982,1.6639939782296491
ADAM17,FGFR,CAL-148,Rep1,False,-15.618200314981072,-2.4610885308029116,-14.918306274698619,2.3402937733678284
ADAM17,FGFR,HCC1143,Rep1,False,-9.648768758383941,-0.5606451620595135,-9.918070217333002,2.01815510590245
ADAM17,FGFR,HCC1395,Rep1,False,0.685536925186542,1.213048724342667,0.8530375332537697,1.0214654732759787
ADAM17,FGFR,HCC1937,Rep1,False,0.30174261490117577,2.8351548045537243,0.4995736348730292,3.1969751500345307
ADAM17,FGFR,HCC38,Rep1,False,-10.382183164912453,0.33586253269069116,-10.866636598716624,0.4041453805954913
ADAM17,FGFR,M14,Rep1,False,-8.232945496334242,-4.32488662744788,-8.223443404326913,-4.917722619718948
ADAM17,FGFR,MDA-MB-157,Rep1,False,2.943710663603684,5.057572719398098,2.911117656788003,4.749166846992757
ADAM17,FGFR,MDA-MB-231,Rep1,False,-0.8696580323551624,-1.4112234528962515,-1.0611221719683268,-1.456499828821667
ADAM17,FGFR,MDA-MB-436,Rep1,False,-5.317936185131264,-4.172684685647441,-5.927327769313162,-4.40715008274728
ADAM17,FGFR,MDA-MB-453,Rep1,False,-4.46627187532653,-5.813765071856498,-5.821380158617421,-6.245084125668021
ADAM17,FGFR,MDA-MB-468,Rep1,False,-7.109092757154311,-7.886585614832571,-8.246122975656588,-2.548641464714921
ADAM17,MAP2K_1,BT-549,Rep1,False,-2.4850080786188813,-0.4495990724560828,-0.9735048903843437,-1.749515067786948
ADAM17,MAP2K_1,CAL-120,Rep1,False,-2.7468069182010115,-1.0712031395039605,-1.2833008531205825,1.5388495626296366
ADAM17,MAP2K_1,CAL-148,Rep1,False,-4.579344105728365,-2.3037252785710516,-4.958229692774891,-2.3496036946283523
ADAM17,MAP2K_1,CAMA-1,Rep1,False,1.3079064304430907,1.3971110186665332,2.187054674177772,1.5648489054973822
ADAM17,MAP2K_1,DU-4475,Rep1,False,1.1777152593966707,5.472044572025794,1.070203083156809,2.7970820670805776
ADAM17,MAP2K_1,HCC1143,Rep1,False,-1.2814096616418769,3.7827041342071333,-2.7156567362320634,4.639724265478436
ADAM17,MAP2K_1,HCC1187,Rep1,False,-4.805068742695447,-3.8922531215865814,-4.621626337005206,-3.862563233590838
ADAM17,MAP2K_1,HCC1395,Rep1,False,-1.6223748797953719,1.0512249704178243,-2.0635278026177044,-1.2160051677005075
ADAM17,MAP2K_1,HCC1937,Rep1,False,-0.5937429243829985,3.123105623419139,-0.4816804645199464,2.5979166338595774
